Video (1 / FPS X No.Samples),,,,Audio (1024 / SampleRate x No. Samples),,
Frame/SampleRate,No.Sample,Seconds,,Frame/SampleRate,No.Sample,Seconds
25,8,0.32,,48000,15,0.32
50,16,0.32,,96000,30,0.32
30,16,0.5333333333,,48000,25,0.5333333333
60,32,0.5333333333,,96000,50,0.5333333333
,,,,,,
Common Intervals,,,,,,
25,48,1.92,,24000,45,1.92
50,96,1.92,,48000,90,1.92
100,192,1.92,,96000,180,1.92
,,,,,,
25,56,2.24,,48000,105,2.24
50,112,2.24,,,,
,,,,,,
30,60,2,,48000,94,2.005333333
60,120,2,,,,
,,,,,,
30,48,1.6,,48000,75,1.6
60,96,1.6,,,,
,,,,,,
30,96,3.2,,48000,150,3.2
60,192,3.2,,,,
,,,,,,
25,96,3.84,,48000,180,3.84
50,192,3.84,,,,
,,,,,,
30,120,4,,48000,187,3.989333333
60,240,4,,48000,188,4.010666667
,,,,,,
24,1,0.04166666667,,48000,1,0.02133333333
24,64,2.666666667,,48000,125,2.666666667
24,128,5.333333333,,48000,250,5.333333333
24,72,3,,48000,141,3.008
,,,,,,
,,,,,,
,,,,,,
29.97,1,0.03336666667,,48000,1,0.02133333333
29.97,30,1.001,,48000,47,1.002666667
29.97,60,2.002,,48000,95,2.026666667
,,,,,,
59.94,1,0.01668333333,,48000,1,0.02133333333
59.94,60,1.001,,48000,47,1.002666667
59.94,120,2.002,,48000,95,2.026666667